text,processed_text,target
i want to wake up early and get a coffee tomorrow today it s going to be a busyy day but have to keep writing booo whoo,i want to wake up early and get a coffee tomorrow today it s going to be a busyy day but have to keep writing booo whoo,neutral
i miss daddy and mommy,i miss daddy and mommy,negative
officially depressed,officially depressed,negative
i just realized that i can t forward text msgs with my iphone,i just realized that i can t forward text msgs with my iphone,neutral
exciting,exciting,positive
that sucks,that sucks,negative
bored,bored,negative
i am lost,i am lost,negative
it s a peter gordon morning and i go to pieces and i want to hide go to pieces and i almost die ever,it s a peter gordon morning and i go to pieces and i want to hide go to pieces and i almost die ever,neutral
bad,bad,negative
lmao smh that one threw me off,lmao smh that one threw me off,neutral
oh nice going,oh nice going,positive
is getting ready for work working all weekend,is getting ready for work working all weekend,neutral
partying,partying,positive
i agree with you,i agree with you,positive
am hopeless at everything else,am hopeless at everything else,negative
perfect ma,perfect ma,positive
thanks,thanks,positive
sorry,sorry,negative
i saw amazing heeels but they were too big,i saw amazing heeels but they were too big,neutral
stuck,stuck,negative
dang,dang,negative
i missed all you are tweets,i missed all you are tweets,negative
damnit all that sucks,damnit all that sucks,negative
my boss she s moving to nyc,my boss she s moving to nyc,neutral
this is sooo crazy,this is sooo crazy,negative
some stupid,some stupid,negative
i think i need some new friends,i think i need some new friends,neutral
looking forward to your gig in ireland see ya there,looking forward to your gig in ireland see ya there,neutral
please re,please re,positive
aww you loooove me,aww you loooove me,positive
is hungry twitter i want food,is hungry twitter i want food,neutral
awesome lucky you,awesome lucky you,positive
yea i should know but tell me everything ps send me direct messages telling ha,yea i should know but tell me everything ps send me direct messages telling ha,neutral
love,love,positive
had a great time out in the beer garden wit the boyos i think the sun got to me a bit though feel a bit ill,had a great time out in the beer garden wit the boyos i think the sun got to me a bit though feel a bit ill,neutral
no fun,no fun,negative
you really don t think so maybe you are right lol by the way what phone you using think you told me b i might have an app for,you really don t think so maybe you are right lol by the way what phone you using think you told me b i might have an app for,neutral
i feel your pain,i feel your pain,negative
comes home in two days,comes home in two days,neutral
sadly,sadly,negative
can not wait,can not wait,positive
ehhh no just a check up i have a dentist app next week though getting my molar canal,ehhh no just a check up i have a dentist app next week though getting my molar canal,neutral
aww i miss driving,aww i miss driving,negative
omg wango tango was awsome i love my baby for taking me,omg wango tango was awsome i love my baby for taking me,positive
its very cool,its very cool,positive
wish,wish,positive
yeah real hard but i know you ll get by with it smile,yeah real hard but i know you ll get by with it smile,neutral
that s not good,that s not good,negative
this has made my night way too funny,this has made my night way too funny,positive
happy,happy,positive
i make that same face when i get home and your mom is watching soaps,i make that same face when i get home and your mom is watching soaps,neutral
i have to go to work now,i have to go to work now,neutral
i can t believe you went and got boba without me,i can t believe you went and got boba without me,neutral
and to you too how are you today,and to you too how are you today,neutral
thanks,thanks,positive
days and counting,days and counting,neutral
sorry friends,sorry friends,negative
brainfreeze,brainfreeze,neutral
just discovered a shortcoming of gravity when you use twitpic integrated it doesn t subtract the pic url from the character limit,just discovered a shortcoming of gravity when you use twitpic integrated it doesn t subtract the pic url from the character limit,neutral
my sunburn is peeling,my sunburn is peeling,negative
perky purple nail polish isn t as perky when its chipped,perky purple nail polish isn t as perky when its chipped,neutral
before they put a camera in the smokers pit i can no longer vandalize that door without being caught,before they put a camera in the smokers pit i can no longer vandalize that door without being caught,neutral
i don t have no one to cuddle with,i don t have no one to cuddle with,negative
hate,hate,negative
,,negative
dying,dying,negative
qood morninq,qood morninq,neutral
writing my english original writing storyyyyy and listening to a little respect by erasure aaaaaah,writing my english original writing storyyyyy and listening to a little respect by erasure aaaaaah,neutral
needs more followers,needs more followers,neutral
stupid job,stupid job,negative
the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form,the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form,neutral
the pants idea could be the new attempt to attract business back to the airlines,the pants idea could be the new attempt to attract business back to the airlines,neutral
have a good on,have a good on,positive
she is popular,she is popular,positive
dosen t want to,dosen t want to,negative
his voice is great,his voice is great,positive
i wish the birthday massacre would come to australia i think they said they re thinking about it though,i wish the birthday massacre would come to australia i think they said they re thinking about it though,neutral
was hoping to go to red lobster this weekend,was hoping to go to red lobster this weekend,neutral
lucky,lucky,positive
i sure do hope,i sure do hope,positive
congrats,congrats,positive
passed away,passed away,negative
you are such amazing people,you are such amazing people,positive
cool,cool,positive
so no rice or crusty bread with the chili aawww,so no rice or crusty bread with the chili aawww,neutral
we are of like minds this evening my dear,we are of like minds this evening my dear,neutral
come and save me from my packing please,come and save me from my packing please,neutral
yes i love tea,yes i love tea,positive
a mouth for sure,a mouth for sure,positive
i finally just have hour of history at pm but i went to my highschool at am to make some homework with a friend,i finally just have hour of history at pm but i went to my highschool at am to make some homework with a friend,neutral
thanks,thanks,positive
s i just don t entertain him,s i just don t entertain him,negative
kill me,kill me,negative
both electronic keys stopped working there is no keyhole,both electronic keys stopped working there is no keyhole,negative
good,good,positive
poor tony,poor tony,negative
goodmorning,goodmorning,positive
i don t really feel like,i don t really feel like,negative
i love mine too happy motheri day to your mom john taylor much love to you too,i love mine too happy motheri day to your mom john taylor much love to you too,positive
saw a black snake in the garden went back for a picture and it was gone,saw a black snake in the garden went back for a picture and it was gone,neutral
best,best,positive
no waterfront anymore,no waterfront anymore,negative
loves her mum very much happy mothers day to all the wonderful mothers out there,loves her mum very much happy mothers day to all the wonderful mothers out there,positive
feeling like poop,feeling like poop,negative
excited,excited,positive
then you cry,then you cry,negative
discovered and are sharing on g reader with me and didn t even know it sigh i m such a g reader newb,discovered and are sharing on g reader with me and didn t even know it sigh i m such a g reader newb,neutral
is chilled out tonite so can not spew venom or write funny seems like these are the only styles she has,is chilled out tonite so can not spew venom or write funny seems like these are the only styles she has,neutral
if you do please pray me lord knows i need it,if you do please pray me lord knows i need it,neutral
aaaaaw i want to live in the usa,aaaaaw i want to live in the usa,neutral
morning tweeple,morning tweeple,positive
hey i didn t get any,hey i didn t get any,neutral
rest if you need it,rest if you need it,positive
that makes my day so much better it s been a rough one did i mention i love the new photo,that makes my day so much better it s been a rough one did i mention i love the new photo,neutral
i don t want to sit at home,i don t want to sit at home,negative
wishing,wishing,positive
concert tonight chackin out and not coming tomorrow,concert tonight chackin out and not coming tomorrow,neutral
what happened i thought you were coming back today,what happened i thought you were coming back today,neutral
dammit,dammit,negative
lol,lol,positive
still jealous,still jealous,negative
me at forever ethan couldn t be there,me at forever ethan couldn t be there,negative
sad,sad,negative
not easy,not easy,negative
wow what a beautiful pictur,wow what a beautiful pictur,positive
looks good,looks good,positive
are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy,are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy,neutral
just about to go home i m usually positive but this has been one of those daze well mins until tomorrow,just about to go home i m usually positive but this has been one of those daze well mins until tomorrow,neutral
but you always have lee let s go to paris,but you always have lee let s go to paris,neutral
a nice,a nice,positive
having lots of fun,having lots of fun,positive
bouncing rush makes me feel nauseous,bouncing rush makes me feel nauseous,negative
lovely day for it,lovely day for it,positive
playing singstar without my fave duetter,playing singstar without my fave duetter,negative
i like,i like,positive
that s just weird,that s just weird,negative
i am a good daughter,i am a good daughter,positive
that s not cool,that s not cool,negative
alwas helps,alwas helps,positive
lacking,lacking,negative
cool,cool,positive
good,good,positive
i think it s under a honeymoon by the good life either that or it s under a honey moon by joseph arthur,i think it s under a honeymoon by the good life either that or it s under a honey moon by joseph arthur,neutral
swollen,swollen,negative
it was hours ago i came in and it s only now i realised when i went to buy something online,it was hours ago i came in and it s only now i realised when i went to buy something online,neutral
oh just referring to our lil exchange on lj with regards to twitter archive postings,oh just referring to our lil exchange on lj with regards to twitter archive postings,neutral
don t act like you don t know,don t act like you don t know,negative
best,best,positive
i m scared of him,i m scared of him,negative
missing,missing,negative
mean,mean,negative
not doing so good,not doing so good,negative
back soon need to run to the shops and cut the grass,back soon need to run to the shops and cut the grass,neutral
i m up i have a plan to transform my bedroom today random,i m up i have a plan to transform my bedroom today random,neutral
missing,missing,negative
that is another sponsor,that is another sponsor,neutral
stuck,stuck,negative
sad,sad,negative
sorr,sorr,negative
is home alone doing hw,is home alone doing hw,neutral
live in poverty,live in poverty,negative
not going well,not going well,negative
uploading all my bamboozle pictures of facebook,uploading all my bamboozle pictures of facebook,neutral
congratulations,congratulations,positive
i miss it there,i miss it there,negative
woke up i want to stay in my bed,woke up i want to stay in my bed,neutral
wack,wack,negative
it would be great if those vips were for some acts i d enjoy seeing but noooo,it would be great if those vips were for some acts i d enjoy seeing but noooo,neutral
wish i could make it too i hate my commute sometimes,wish i could make it too i hate my commute sometimes,neutral
hopefully i can make some good tips,hopefully i can make some good tips,positive
d there wasn t a chance,d there wasn t a chance,negative
hates,hates,negative
thanks for the support,thanks for the support,positive
there s really no android twitter app of tweetie s calibre,there s really no android twitter app of tweetie s calibre,neutral
lovely,lovely,positive
nyappy mother s day to your mom s,nyappy mother s day to your mom s,positive
yeah and i am going to take you are picture off my ipod baby,yeah and i am going to take you are picture off my ipod baby,neutral
traumatizing,traumatizing,negative
lol same here wish there was a way to microsize everything lol,lol same here wish there was a way to microsize everything lol,neutral
fail,fail,negative
glad,glad,positive
about to have dinner and then an evening of playing cards already packed and ready to head home tomorrow do we have to go home,about to have dinner and then an evening of playing cards already packed and ready to head home tomorrow do we have to go home,neutral
i am allergic to cats my tonsils get swollen and they hurt what do i dooo,i am allergic to cats my tonsils get swollen and they hurt what do i dooo,negative
tomorrow will be tough,tomorrow will be tough,negative
miss,miss,negative
i m glad,i m glad,positive
thanks,thanks,positive
i hope,i hope,positive
